TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprouted Moong Dhokla Recipe,"250 grams Green Moong Sprouts,3 Green Chillies,1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Mustard seeds,Salt - to taste,1/2 teaspoon Sesame seeds (Til seeds),120 grams Gram flour (besan),1 Carrot (Gajjar),1 inch Ginger,2 tablespoon Coriander (Dhania) Leaves,1/2 cup Buttermilk,1/2 teaspoon Baking soda,1-1/2 tablespoon Sunflower Oil,1 sprig Curry leaves",105,Gujarati Recipes﻿,"salt,cumin powder (jeera),ginger,coriander (dhania) leaves,mustard seeds,green moong sprouts,carrot,gram flour (besan),baking soda,curry leaves,sesame seeds (til seeds),buttermilk,green chillies,sunflower oil",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refreshing Sweet Lime Soda Recipe,"Mint Leaves (Pudina) - as required,Black Salt (Kala Namak) - to taste,4 tablespoons Sugar,Ice cubes - as required,1 cup Water,1 teaspoon Cumin (Jeera) seeds - powdered,1/4 cup Lemon juice,Black pepper powder - a pinch,1 cup Aerated water (Soda Water)",15,Indian,"black salt,ice cubes,water,sugar,lemon,black pepper powder,mint leaves (pudina),aerated water (soda water),cumin (jeera) seeds",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy And Delicious Chicken Teriyaki Noodle Recipe,"1 Onion - sliced,100 grams Chicken - shredded,1 inch Ginger - chopped,3 tablespoons Sprig Ginger Teriyaki Sauce,Salt and Pepper - to taste,2 cups Egg noodles - (Flat) boiled,1 Green bell peppers - julienned,1/2 Green zucchini - julienned,1 tablespoon Sunflower Oil,4 cloves Garlic - chopped,2 tablespoons Soy sauce,1 tablespoon Red Chilli sauce,2 Carrots (Gajjar) - julienned",45,Indo Chinese,"salt,green bell peppers,ginger,cloves garlic,carrot,ginger teriyaki sauce,soy sauce,eggs noodles (flat),onion,chicken,pepper,green zucchini,red chilli sauce,sunflower oil",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetroot Tambuli (Beetroot Raita With Coconut) Recipe,"1 cup Curd (Dahi / Yogurt),2 Green Chillies,1/2 teaspoon Mustard seeds,1 inch Ginger - chopped,Salt - to taste,10 Whole Black Peppercorns,1 to 2 Dry Red Chilli,3/4 cup Fresh coconut - grated,1 sprig Curry leaves,1 cup Beetroot - grated,1/2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Leaves - chopped,1 pinch Asafoetida (hing)",40,Indian,"salt,ginger,coconut,coriander (dhania) leaves,mustard seeds,asafoetida (hing),black peppercorns,dry red chilli,curd,curry leaves,cumin seeds (jeera),beetroot,green chillies",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malpua With Rose And Saffron Syrup Recipe,"1/4 teaspoon Cardamom (Elaichi) Pods/Seeds - crushed,2 cup Sugar,1/3 cup Khoya (Mawa),1 cup Milk,1/2 teaspoon Fennel seeds (Saunf) - crushed,1/4 cup Raisins,5 Cardamom (Elaichi) Pods/Seeds,Pistachios - or almonds to garnish,8 Saffron strands,2 tablespoons Sugar,1 teaspoon Rose Essence,1/2 cup All Purpose Flour (Maida),1/4 teaspoon Baking powder,1-3/4 cup Water,Rabri - thick clotted cream,1/2 cup Sooji (Semolina/ Rava),Sunflower Oil - to deep fry",130,North Indian Recipes,"rabri,baking powder,khoya (mawa),cardamom (elaichi) podsseeds,fennel seeds (saunf),milk,saffron strands,raisins,water,rose essence,sugar,pistachios almonds,sooji (semolina rava),flour (maida),sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cake Overnight Oats Recipe,"1/2 cup Carrots (Gajjar) - grated,2 teaspoon Chia Seeds,2 tablespoon Honey - or as needed,1 1/4 cup Rolled Oats,2 tablespoon Dessicated Coconut,1/2 cup Hung Curd (Greek Yogurt),1/3 cup Mixed nuts - roughly chopped,1 teaspoon Cinnamon Powder (Dalchini),1 pinch Nutmeg powder,Granola - and more nuts for topping,1-1/4 cup Almond Milk (Badam Milk),1 pinch Salt,2 teaspoon Vanilla Extract",310,Continental,"salt,hung curd (greek yogurt),rolled oats,nutmeg powder,almond milk (badam milk,coconut,carrot,vanilla,chia seeds,mixed nuts,granola nuts topping,cinnamon powder (dalchini)",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiced Carrot Walnut Cake Recipe With Chocolate,"3/4 cup Sugar,1 teaspoon Baking powder,1/4 cup Dark chocolate - chopped,1/4 cup Walnuts - toasted,1/4 teaspoon Salt,1-1/4 cup All Purpose Flour (Maida),2 cups Carrots (Gajjar) - grated,1/2 cup Sunflower Oil,1/4 teaspoon Cardamom Powder (Elaichi),2 Whole Eggs,1/4 teaspoon Cinnamon Powder (Dalchini)",60,Continental,"baking powder,salt,sunflower oil,carrot,sugar,dark chocolate,cardamom powder (elaichi),eggs,flour (maida),walnuts,cinnamon powder (dalchini)",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Protein Broccoli and Dill Stuffed Paratha Recipe,"1 teaspoon Turmeric powder (Haldi),Sunflower Oil,Water - as required,1 teaspoon Salt,1 inch Ginger - chopped,Salt - to taste,1 Red Bell pepper (Capsicum) - chopped,1 teaspoon Red Chilli powder,1/2 cup Gram flour (besan),1 Onion - chopped,1 cup Whole Wheat Flour,4 cloves Garlic - chopped,1/2 cup Dill leaves - chopped,1 cup Broccoli - florets blitzed into small pieces",55,North Indian Recipes,"salt,wheat flour,red bell pepper (capsicum),dill leaves,ginger,red chilli powder,water,cloves garlic,gram flour (besan),onion,broccoli florets blitzed,turmeric powder,sunflower oil",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhuska Recipe (Rice Fried Bread),"Salt - to taste,Mustard oil - as required to deep fr,1/2 cup Chana dal (Bengal Gram Dal) - washed and soaked in water for 4 to 5 hours,1/5 teaspoon Turmeric powder (Haldi),2 tablespoons Green peas (Matar),2 tablespoon Coriander (Dhania) Leaves - finely chopped,1 cup Basmati rice - washed and soaked in water for 4 to 5 hours,3 Green Chillies - finely chopped",50,Jharkhand,"basmati rice,salt,chana dal (bengal gram dal),coriander (dhania) leaves,green peas (matar),mustard oil fr,turmeric powder,green chillies",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Kale Pesto Pasta Recipe,"2 tablespoons Walnuts,Basil leaves - one bunch,2 cloves Garlic,1 tablespoons Black pepper powder,Pasta  Fusilli,1 tablespoon Avocado - mashed,2 tablespoons Extra Virgin Olive Oil,3/4 cup Mozzarella cheese - grated,Kale - one bunch,1 Lemon juice,2 tablespoons Parmesan cheese,1 tablespoon Green Chilli Paste,Salt - for seasoning",34,Italian Recipes,"salt,mozzarella cheese,virgin olive oil,basil leaves,cloves garlic,kale,avocado,lemon,black pepper powder,parmesan cheese,pasta fusilli,walnuts,green chilli paste",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickpea Soup Recipe,"1/2 teaspoon Red Chilli flakes,1 teaspoon Ginger Garlic Paste,Salt - to taste,1/2 cup Kabuli Chana (White Chickpeas),1 teaspoon Basil powder - or oregano,1 Onion - chopped,Lemon juice - to taste,Turmeric powder (Haldi) - a pinch,1 teaspoon Sunflower Oil,1 teaspoon Black pepper powder",35,North Indian Recipes,"salt,red chilli flakes,ginger garlic paste,kabuli chana (white chickpeas),onion,lemon,black pepper powder,turmeric powder,basil powder oregano,sunflower oil",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kollu Rasam Recipe - Healthy Horse Gram Rasam,"2 Tomatoes - made into a puree,1 teaspoon Coriander Powder (Dhania) - roasted,1/2 teaspoon Mustard seeds,Salt - to taste,1/4 teaspoon SSP Asafoetida (Hing),1 teaspoon Cumin powder (Jeera) - roasted,1 cup Tamarind Water,1/2 teaspoon Black pepper powder,50 grams Horse Gram Dal (Kollu/ Kulith) - soaked for 4 hours,1/2 teaspoon Red Chilli powder - as required,5 sprig Coriander (Dhania) Leaves - chopped for garnishing,1 tablespoon Ghee,1 teaspoon Turmeric powder (Haldi),3 cloves Garlic - crushed,1 sprig Curry leaves",70,South Indian Recipes,"tomato,salt,cumin powder (jeera),tamarind water,asafoetida (hing),ghee,mustard seeds,red chilli powder,cloves garlic,curry leaves,coriander (dhania) leaves,black pepper powder,horse gram dal (kollu kulith),coriander powder,turmeric powder",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathiyawadi Stuffed Onion Recipe,"3/4 cup Roasted Peanuts (Moongphali),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),Salt - to taste,2 tablespoons Red Chilli powder,4 tablespoons Coriander (Dhania) Leaves - finely chopped,2 tablespoons Coriander Powder (Dhania),2 teaspoons Sunflower Oil - for the stuffing,10 cloves Garlic,300 grams Pearl onions (Sambar Onions)",30,Gujarati Recipes﻿,"salt,cumin powder (jeera),coriander (dhania) leaves,red chilli powder,cloves garlic,pearl onion (sambar onion),peanuts (moongphali),coriander powder,turmeric powder,sunflower oil the stuffing",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry And Sooji Halwa Recipe,"1 tablespoon Mixed nuts - sliced,1-1/2 tablespoons Ghee,1 cup Hot water,1/4 cup Sooji (Semolina/ Rava),1/4 cup Sugar,4 tablespoons Strawberry Compote,1/4 teaspoon Cardamom Powder (Elaichi)",20,Indian,"strawberry compote,ghee,water,sugar,cardamom powder (elaichi),sooji (semolina rava),mixed nuts",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtrian Kadhi Recipe,"1 tablespoon Sugar,1 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Cumin seeds (Jeera),1 inch Ginger - grated,1 teaspoon Mustard seeds,1 Green Chilli - chopped,4 tablespoon Gram flour (besan),1 cup Hung Curd (Greek Yogurt),1 sprig Curry leaves - chopped,1 pinch Asafoetida (hing)",35,Maharashtrian Recipes,"hung curd (greek yogurt),ginger,green chilli,mustard seeds,asafoetida (hing),gram flour (besan),curry leaves,sugar,coriander (dhania) leaves,cumin seeds (jeera)",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauki Yakhni Recipe - Bottle Gourd In Yogurt Gravy,"Salt - as required,1 cup Curd (Dahi / Yogurt),1/2 teaspoon Dry ginger powder,1 inch Cinnamon Stick (Dalchini),1 teaspoon Fennel Powder,3-4 Cloves (Laung),1 1/2 tablespoon Mustard oil,1/2 teaspoon Ajwain (Carom seeds),2-3 Cardamom (Elaichi) Pods/Seeds,1 Bottle gourd (lauki),1/4 teaspoon Asafoetida (hing)",50,Awadhi,"salt,mustard oil,cardamom (elaichi) podsseeds,asafoetida (hing),ajwain (carom seeds),curd,dry ginger powder,fennel powder,cinnamon stick (dalchini),bottle gourd (lauki),cloves (laung)",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice Baked Potatoes Recipe,"1 Green Chilli - finely chopped,Salt and Pepper - as required,1/2 teaspoon Turmeric powder (Haldi),pinch Coriander Powder (Dhania),1 tablespoon Sour cream,1/2 teaspoon Amchur (Dry Mango Powder),1 tablespoon All Purpose Flour (Maida),pinch Kashmiri Red Chilli Powder,1-2 teaspoons Extra Virgin Olive Oil,pinch Cumin powder (Jeera),1/3 cup Mozzarella cheese - grated,4 Potatoes (Aloo) - (2 if large) scrubbed clean,2 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Butter,1/2 cup Green peas (Matar),1/2 cup Vegetable stock - warmed,1 teaspoon Garlic - minced,1/4 teaspoon Asafoetida (hing),1/2 teaspoon Ginger - grated,1 Onion - thinly sliced",50,Continental,"cumin powder (jeera),kashmiri red chilli powder,sour,asafoetida (hing),coriander (dhania) leaves,virgin olive oil,onion,turmeric powder,salt,green chilli,mozzarella cheese,flour (maida),vegetable,garlic,pepper,butter,ginger,amchur (dry mango powder),green peas (matar),coriander powder,potato (aloo)",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato and Zucchini Frittata Recipe,"50 ml Milk,Salt - to taste,1 Tomato - sliced,1 teaspoon Red Chilli flakes,1 teaspoon Dried oregano,2 tablespoons Paneer (Homemade Cottage Cheese),50 grams Green zucchini - sliced,2 Whole Eggs,1 teaspoon Dried Thyme Leaves",20,Continental,"tomato,salt,paneer,milk,red chilli flakes,thyme leaves,green zucchini,eggs,dried oregano",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiced Turnips with Spinach Recipe,"1 Onion - sliced,2 sprig Coriander (Dhania) Leaves - finely chopped,3/4 teaspoon Coriander Powder (Dhania),1 teaspoon Garlic - paste(optional),Salt - to taste,1/2 teaspoon Ginger - paste,Red Chilli powder - to taste,3/4 teaspoon Turmeric powder (Haldi),1 Spinach Leaves (Palak) - bunch,Sunflower Oil - to cook,2 Tomatoes - chopped,3/4 teaspoon Cumin seeds (Jeera),3 Turnips - peeled and diced into cubes,3 Green Chillies - slit",75,Indian,"tomato,salt,spinach leaves (palak) bunch,ginger paste,sunflower oil,red chilli powder,coriander (dhania) leaves,onion,cumin seeds (jeera),coriander powder,turnips,turmeric powder,green chillies,garlic paste",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labra Assamese Chunky Mix Vegetables Recipe,"1/2 cup Mooli/ Mullangi (Radish) - cut into big pieces,1 Dry Red Chilli,2 inch Ginger,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),2 Potatoes (Aloo) - cut into quarters,1 cup Kaddu (Parangikai/ Pumpkin) - cut into 1.5 inch cubes,1 cup Small Green brinjal (green aubergine) - cut into big pieces,5 cloves Garlic,1 teaspoon Garam masala powder,Salt - to taste,2 tablespoon Mustard oil,1 cup Water,2 Dry Red Chillies,1/2 teaspoon Sugar,1 Onion,1 Bay leaf (tej patta),1 teaspoon Panch Phoran Masala",60,Assamese,"salt,cumin powder (jeera),ginger,mustard oil,bay leaf (tej patta),cloves garlic,water,dry red chilli,sugar,dry red chillies,onion,panch phoran masala,turmeric powder,potato (aloo),mooli mullangi (radish),parangikai pumpkin cubes,garam masala powder,green brinjal (green aubergine)",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perum Payaru Theeyal Recipe (Kerala Style Black Eyed Bean Curry),"4 Dry Red Chillies,Coriander (Dhania) Leaves - few sprigs,Salt - to taste,1.5 cups Red Black Eyed Beans (Azuki),1/2 cup Fresh coconut - grated,1 tablespoon Sunflower Oil,3 tablespoons Coriander (Dhania) Seeds,2 tablespoons Tamarind Paste",25,Kerala Recipes,"salt,red black eyed beans (azuki),coriander (dhania) leaves,coconut,dry red chillies,coriander (dhania) seeds,tamarind paste,sunflower oil",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Mango Sambar Recipe - South Indian Mangai Sambar Recipe,"1 Mango (Raw) - chopped,1 teaspoon White Urad Dal (Split),1/2 teaspoon Turmeric powder (Haldi),1 Dry Red Chilli,2 Dry Red Chilli,1 inch Ginger - chopped,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 Onion - chopped,1 cup Arhar dal (Split Toor Dal),2 teaspoons Sambar Powder,4 cloves Garlic - chopped,Sunflower Oil,1 sprig Curry leaves,1 pinch Asafoetida (hing)",40,Tamil Nadu,"salt,ginger,arhar dal (split toor dal),mustard seeds,asafoetida (hing),cloves garlic,dry red chilli,mango,white urad dal (split),curry leaves,onion,cumin seeds (jeera),turmeric powder,sambar powder,sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Curry With Chicken Recipe,"Salt - as required,Sunflower Oil,1 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),Coriander (Dhania) Leaves - A small bunch,3/4 teaspoon Turmeric powder (Haldi),1/2 cup Homemade tomato puree,3 cloves Garlic - chopped,1 Onion - roughly chopped,1 inch Ginger - roughly chopped,400 grams Chicken breasts - cut into small pieces,500 grams Kaddu (Parangikai/ Pumpkin),2 Green Chilli - finely chopped",70,Indian,"tomato,salt,cumin powder (jeera),ginger,coriander (dhania),parangikai pumpkin,green chilli,red chilli powder,cloves garlic,onion,coriander powder,chicken breasts,turmeric powder,garam masala powder,sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacha & Mocha Parappu Sundal Recipe - Green Sprouts & Flat Broad Bean Stir Fry,"Salt - for taste,5 Curry leaves - roughly torn,Sunflower Oil,2 Dry Red Chilli,1 inch Ginger - chopped,1/2 cup Fresh coconut - grated,1 Onion - chopped,1 teaspoon Mustard seeds,3/4 teaspoon White Urad Dal (Split),2 Green Chillies - finely chopped,1/2 teaspoon Asafoetida (hing),4 cloves Garlic - chopped,1 teaspoon Turmeric powder (Haldi),1 cup White broad beans,1 cup Green Moong Sprouts",40,Tamil Nadu,"salt,ginger,coconut,mustard seeds,white broad beans,asafoetida (hing),green moong sprouts,cloves garlic,dry red chilli,curry leaves,white urad dal (split),onion,turmeric powder,green chillies,sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta Aglio Olio Recipe,"Salt - as required,Parmesan cheese - grated or pecorino cheese or Italian bread crumbs for garnish (as required),4 tablespoon Extra Virgin Olive Oil,500 grams Spaghetti Pasta - whole wheat,Parsley leaves - Handful,8 cloves Garlic - minced or crushed,2 teaspoon Red Chilli flakes - or red chillies chopped",25,Italian Recipes,"salt,parmesan cheese pecorino cheese italian bread crumbs,cloves garlic,virgin olive oil,parsley leaves,red chilli flakes red chillies,spaghetti pasta wheat",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Palak Dal Sabzi Recipe,"Salt - as required,Sunflower Oil - as required,1/4 teaspoon Cumin seeds (Jeera),1 Onion - finely chopped,1/2 teaspoon Red Chilli powder,250 grams Spinach Leaves (Palak),4 Garlic - finely chopped,2 Fresh Red chillies - chopped,1/2 cup Arhar dal (Split Toor Dal)",40,Andhra,"salt,arhar dal (split toor dal),red chillies,red chilli powder,onion,garlic,cumin seeds (jeera),spinach leaves (palak),sunflower oil",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthani Hari Mirch Ka Maas Recipe,"3 Green Chillies,1 tablespoon Lemon juice,1/2 teaspoon Turmeric powder (Haldi),2 sprig Coriander (Dhania) Leaves - finely chopped,Salt - to taste,1 tablespoon Ginger - finely chopped,1 Green Chilli - large sized,1/2 teaspoon Red Chilli powder,2 tablespoons Ghee,400 grams Mutton - on the bone,1/2 cup Curd (Dahi / Yogurt),2 Onions - thinly sliced,1 tablespoon Garlic - finely chopped",55,North Indian Recipes,"salt,ginger,ghee,red chilli powder,curd,coriander (dhania) leaves,garlic,lemon,onion,green chilli large,turmeric powder,green chillies,mutton on the",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triple Bean Vegetarian Cutlet or Patty Recipe,"1 Potato (Aloo) - boiled,1/2 cup Mixed vegetables - (carrots,1/4 cup Whole Wheat Bread crumbs,1 cup Mixed Beans - (kabuli channa/white chickpeas,1 teaspoon Garam masala powder,1 inch Ginger - grated,2 cloves Garlic - grated,2 Green Chillies - finely chopped,1 Onion - finely chopped,2 tablespoons Coriander (Dhania) Leaves - chopped,Salt and Pepper - to taste,4-5 tablespoons Sunflower Oil - for shallow frying,2 tablespoons Mint Leaves (Pudina) - chopped,1/2 teaspoon Red Chilli powder",80,Continental,"green chillies,salt,ginger,coriander (dhania) leaves,mixed beans (kabuli channawhite chickpeas,potato (aloo),mixed vegetables (carrot,red chilli powder,cloves garlic,onion,pepper,mint leaves (pudina),wheat bread crumbs,garam masala powder,sunflower oil",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nawabi Kofta Curry Recipe,"1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander (Dhania) Seeds,4 Potatoes (Aloo) - boiled and peeled,1 teaspoon Garam masala powder,Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,2 tablespoons Cashew nuts - chopped,250 grams Paneer (Homemade Cottage Cheese) - crumbled,1/4 cup Fresh cream,2 tablespoons Raisins - chopped,2 sprig Coriander (Dhania) Leaves - chopped,2 Cloves (Laung),2 cups Homemade tomato puree,1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 inch Cinnamon Stick (Dalchini),5 cloves Garlic,1 inch Ginger,2 Green Chillies - finely chopped,1 teaspoon Fennel seeds (Saunf),2 Onion - chopped,2 sprig Coriander (Dhania) Leaves - chopped to garnish,2 tablespoons Ghee,1 teaspoon Black pepper powder",75,North Indian Recipes,"tomato,cumin powder (jeera),kashmiri red chilli powder,cloves garlic,coriander (dhania) seeds,onion,black pepper powder,turmeric powder,green chillies,salt,cardamom (elaichi) podsseeds,raisins,garam masala powder,cashew nuts,ginger,ghee,paneer,fennel seeds (saunf),coriander (dhania) leaves,cinnamon stick (dalchini),potato (aloo),cloves (laung)",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Wheat Waffles with Caramelised Bananas (Egg and Eggless Recipe),"2 teaspoons Baking powder,2 Ripe Bananas - thickly sliced diagonally,1/8 teaspoon Salt,2 teaspoons Sugar,1 teaspoon Cinnamon Powder (Dalchini),1/4 cup Brown Sugar (Demerara Sugar),3/4 cup Milk,1 Flaxmeal Egg Replacer - or 1 egg,1/4 cup Sunflower Oil,1/4 teaspoon Vanilla Extract,1 cup Whole Wheat Flour,2 tablespoons Butter (unsalted)",55,Continental,"baking powder,salt,wheat flour,bananas,cinnamon powder (dalchini),milk,sugar,vanilla,brown sugar (demerara sugar),flaxmeal eggs replacer eggs,butter,sunflower oil",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Chilli Pickle Recipe (Gujarati Raiwala Marcha),"1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Salt - (adjust),1/2 cup Yellow mustard seeds - coarsely crushed,20 Green Chillies - (bhavnagari variety,1/2 teaspoon Asafoetida (hing),1/4 cup Lemon - cubed,4 teaspoon Sunflower Oil",10,Indian,"salt,asafoetida (hing),yellow mustard seeds,lemon,green chillies (bhavnagari variety,turmeric powder,sunflower oil",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh Style Satpaita Dal Recipe,"1 teaspoon Cumin powder (Jeera),1/4 cup White Urad Dal (Split),1 teaspoon Coriander Powder (Dhania),2 Green Chillies - slit,1 Onion - finely chopped,1 tablespoon Ghee,2 Tomatoes - finely chopped,Sunflower Oil - as required,Salt - to taste,1/2 tablespoon Ginger Garlic Paste,2 Bay leaves (tej patta),1/2 cup Chana dal (Bengal Gram Dal),1/2 teaspoon Cumin seeds (Jeera),4 cloves Garlic - crushed,1/2 kg Spinach Leaves (Palak),1/2 teaspoon Red Chilli powder,1 pinch Asafoetida (hing),3 Green Chillies - minced,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Whole Black Peppercorns - crushed,1/2 teaspoon Garam masala powder",35,Uttar Pradesh,"tomato,green chillies,cumin powder (jeera),salt,bay leaves (tej patta),ghee,asafoetida (hing),spinach leaves (palak),red chilli powder,black peppercorns,cloves garlic,ginger garlic paste,white urad dal (split),onion,cumin seeds (jeera),coriander powder,turmeric powder,chana dal (bengal gram dal),garam masala powder,sunflower oil",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati Tawa Handvo Recipe With Sweet Corn,"1 inch Ginger - chopped,Salt - to taste,1/4 teaspoon SSP Asafoetida (Hing),1/2 teaspoon Sesame seeds (Til seeds),1/4 teaspoon Red Chilli powder,1 Green Chillies,1/2 cup Rice - (raw rice),1/2 cup White Urad Dal (Whole),1 teaspoon Curry leaves - finely chopped,1 tablespoon Sunflower Oil,2 cups Sweet corn,1/2 cup Chana dal (Bengal Gram Dal)",50,Gujarati Recipes﻿,"salt,ginger,sunflower oil,chana dal (bengal gram dal),asafoetida (hing),rice (raw rice),red chilli powder,curry leaves,sesame seeds (til seeds),sweet corn,green chillies,white urad dal",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Onion & Roasted Garlic Brown Rice Recipe,"1 tablespoon Extra Virgin Olive Oil,Salt - to taste,1-1/2 cup Brown Rice - washed and soaked,1/4 cup Spring Onion (Bulb & Greens) - bulbs,6 cloves Garlic - finely chopped,1/4 cup Spring Onion Greens",65,Continental,"salt,brown rice,spring onion greens,cloves garlic,virgin olive oil,spring onion (bulb greens) bulbs",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basbousa Recipe With Egg,"1 teaspoon Vanilla Extract,1 cup Sugar,1 cup Sooji (Semolina/ Rava),3/4 cup Vivatta Maida,1 teaspoon Rose water,1 cup Water,1/2 cup Curd (Dahi / Yogurt) - or milk,1 teaspoon Lemon,1/2 cup Sugar,2 Whole Eggs,1/2 cup Butter - melted,1 cup Dessicated Coconut",90,Middle Eastern,"coconut,rose water,water,vivatta maida,sugar,curd milk,vanilla,lemon,sooji (semolina rava),eggs,butter",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methi And Palak Paratha Recipe,"1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),4 cloves Garlic - grated,Salt - to taste,1/2 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,1/2 teaspoon Chaat Masala Powder,1 Onion - finely chopped,Water - to bind the dough,2 cups Whole Wheat Flour,2 tablespoons Sunflower Oil,Methi Leaves (Fenugreek Leaves) - a bunch,Spinach Leaves (Palak) - roughly chopped",50,Indian,"salt,wheat flour,cumin powder (jeera),sunflower oil,chaat masala powder,red chilli powder,cloves garlic,water bind the dough,onion,cumin seeds (jeera),coriander powder,turmeric powder,spinach leaves (palak),methi leaves (fenugreek leaves) bunch",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Pepper & Parsley Rice Recipe,"2 teaspoons Extra Virgin Olive Oil,1 tablespoon Extra Virgin Olive Oil,2 teaspoons Mixed Herbs (Dried),Salt - to taste,1 teaspoon Rosemary - dried,4 cloves Garlic - finely chopped,1 cup Rice - washed and soaked,1 teaspoon Red Chilli flakes,1/3 cup Green Bell Pepper (Capsicum) - finely chopped,Parsley leaves,1/3 cup Yellow Bell Pepper (Capsicum) - finely chopped,1/3 cup Red Bell pepper (Capsicum) - finely chopped,1 Onion - thinly sliced",45,Continental,"yellow bell pepper (capsicum),salt,red bell pepper (capsicum),rice,mixed herbs (dried),cloves garlic,virgin olive oil,red chilli flakes,green bell pepper (capsicum),onion,parsley leaves,rosemary dried",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
