TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,Cleaned-Ingredients,Ingredient-count,Canonical_Name,Name_Aliases,Cleaned_RecipeName
 Khatte Pudina Aloo Recipe," salt - 1 tsp cumin seeds, 2 green chillies, 1/4 cup mint, 1-1 / 2 tsp Amchur powder, 1/3 tsp turmeric powder,5 Potatoes - Boil, ghee - or oil as per taste, 1 tsp red chilli powder, 1/2 cup coriander",25,Indian,"turmeric powder,salt cumin seeds,potatoes boil,mint,red chilli powder,coriander,tsp amchur powder,ghee,oil,green chillies",10,khatte pudina aloo,[],khatte pudina aloo
Sweet Corn Spring Onion Momo Recipe - Sweet Corn Dumplings,"1 cup All Purpose Flour (Maida),1/4 teaspoon Black pepper powder,1/2 cup Spring Onion (Bulb & Greens) - finely chopped,1 cup Sweet corn - coarsely ground,Salt - to taste,3 tablespoons Sriracha sauce,Water - to knead",50,Chinese,"salt,water knead,sriracha sauce,spring onion,sweet corn ground,black pepper powder,flour",7,sweet corn spring onion momo,['sweet corn dumplings'],"sweet corn spring onion momo, sweet corn dumplings"
Eggless Apple Strudel Recipe With Homemade Pastry Sheet,"2 tablespoon Caster Sugar,1 Pastry dough,1 tablespoon Cinnamon Powder (Dalchini),1 teaspoon Cinnamon Powder (Dalchini),3 tablespoons Jam - Mixed Fruit,1 tablespoon Caster Sugar,2 Apples - chopped in cubes,1/2 cup Badam (Almond) - roughly chopped,1/2 cup Raisins,1/2 cup Butter - melted,2 tablespoons Whole Wheat Bread crumbs",60,Continental,"pastry dough,apples,jam mixed fruit,raisins,badam,caster sugar,wheat bread crumbs,butter,cinnamon powder",9,apple strudel with homemade pastry sheet,[],apple strudel with homemade pastry sheet
Wheat Pizza Pockets Recipe Baked with Chicken Filling,"1 teaspoon Sugar,1/4 cup Lukewarm Water - + extra if needed,300 grams Boneless chicken - cut into small pieces,2 teaspoon Extra Virgin Olive Oil,1-1/2 cup Whole Wheat Flour,Salt - to taste,5 cloves Garlic - minced,Black pepper powder - to taste,1/3 cup Yellow Bell Pepper (Capsicum) - cut into smaller pieces,1/3 cup Green Bell Pepper (Capsicum) - cut into smaller pieces,1/2 cup Ricotta Cheese,1/3 cup Red Bell pepper (Capsicum) - cut into smaller pieces,1/2 teaspoon Salt,3 tablespoon Homemade Pizza And Pasta Sauce,1 teaspoon Extra Virgin Olive Oil,1 Onions,1/2 cup Mozzarella cheese,1 tablespoon Active dry yeast,Milk - for brushing",140,Continental,"salt,wheat flour,boneless chicken,pizza pasta sauce,yellow bell pepper smer,mozzarella cheese,virgin olive oil,dry yeast,cloves garlic,ricotta cheese,sugar,onion,green bell pepper smer,black pepper powder,milk brushing,red bell pepper smer,water needed",17,wheat pizza pockets baked with chicken filling,[],wheat pizza pockets baked with chicken filling
Chilli Capsicum Macaroni Recipe,"2 tablespoon Coriander (Dhania) Leaves - finely chopped,1 tablespoon Red Chilli flakes,1 cup Macaroni pasta,1 tablespoon Soy sauce,Salt - to taste,1 Tomato - finely chopped,1 Green Bell Pepper (Capsicum) - chopped,1 Onion - chopped,3 Green Chillies - chopped,5-6 cloves Garlic - chopped finely,2 tablespoon Tomato Ketchup,2 tablespoon Red Chilli sauce,Sunflower Oil - as required",45,Fusion,"tomato,salt,macaroni pasta,coriander leaves,cloves garlic,soy sauce,red chilli flakes,tomato ketchup,onion,green bell pepper,red chilli sauce,green chillies,sunflower oil",13,chilli capsicum macaroni,[],chilli capsicum macaroni
Mung Bean Sprouts Upkari Recipe - Mung Beans Stir Fry,"2 teaspoons Coconut Oil,1/2 teaspoon Mustard seeds,3 Dry Red Chillies - broken into 2 to 3 pieces,2 tablespoons Fresh coconut - grated,2 cups Green Moong Sprouts,Salt - to taste,1/2 teaspoon Asafoetida (hing) - optional,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera)",30,Indian,"salt,asafoetida,mustard seeds,coconut,green moong sprouts,dry red chillies,cumin seeds,coconut oil,turmeric powder",9,mung bean sprouts upkari,['mung beans stir fry'],"mung bean sprouts upkari, mung beans stir fry"
Roasted Cauliflower Soup Recipe,"1 teaspoon Black pepper powder,2 cups Cauliflower (gobi) - cut in florets,Salt - to taste,1 teaspoon Butter,5 cloves Garlic,1 cup Milk,1/2 cup Water,2 tablespoons Extra Virgin Olive Oil,2 Whole Black Pepper Corns - crushed,1/2 cup Celery - chopped",40,Continental,"salt,black pepper corns,milk,celery,virgin olive oil,cloves garlic,water,black pepper powder,butter,cauliflower florets",10,roasted cauliflower soup,[],roasted cauliflower soup
Thandai Mousse Cake Recipe With A Delicious Cardamom Sponge,"1 cup Curd (Dahi / Yogurt),1 cup Heavy whipping cream,1 teaspoon Baking powder,1/4 teaspoon Saffron strands,1 teaspoon Vanilla Extract,1/4 cup Fresh cream - (for ganache),100 grams White Chocolate - chopped,2 tablespoons Thandai syrup,1/2 cup Sunflower Oil,1/4 teaspoon Cardamom Powder (Elaichi),2 tablespoons Badam (Almond) - finely chopped,1/4 teaspoon Baking soda,1-1/2 All Purpose Flour (Maida),1/2 cup Sugar,1 tablespoon Pistachios - finely chopped",60,Indian,"baking powder,heavy whipping cream,thandai syrup,pistachios,saffron strands,white chocolate,baking soda,curd,sugar,vanilla,cardamom powder,badam,flour,sunflower oil",15,thandai mousse cake with a cardamom sponge,[],thandai mousse cake with a cardamom sponge
Chickpea & Oats Falafel Recipe,"1 cup Kabuli Chana (White Chickpeas) - soaked for 8 hours,Salt - to taste,1 tablespoon All Purpose Flour (Maida),1 teaspoon Cumin powder (Jeera) - roasted,2 cloves Garlic - chopped,Black pepper powder - to taste,60 grams Instant Oats (Oatmeal),Sunflower Oil - as required,4 sprig Parsley leaves - chopped (you can also use coriander)",50,Middle Eastern,"salt,cumin powder,cloves garlic,kabuli chana,parsley leaves,black pepper powder,flour,instant oats,sunflower oil",9,chickpea & oats falafel,[],chickpea & oats falafel
Drumstick Dal Soup Recipe,"1/2 teaspoon Turmeric powder (Haldi),1 Tomato,1 cup Green Moong Dal (Whole),2 Drumstick,4 Garlic,1 cup Water - (adjust according to your consistency),1/2 teaspoon Black pepper powder,1/2 teaspoon Salt,1 Onion,1/4 teaspoon Cumin powder (Jeera)",40,South Indian Recipes,"tomato,salt,cumin powder,drumstick,water,onion,garlic,black pepper powder,green moong dal,turmeric powder",10,drumstick dal soup,[],drumstick dal soup
Colflower Pea Bhurji Recipe,"1 Tomato - chopped finely,3 Green Chillies,Salt - as required,1 cup Green peas (Matar),1 teaspoon Ginger Garlic Paste,Coriander (Dhania) Leaves - for garnish,1 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,1 Cauliflower (gobi),1 Onion - chopped finely,1/4 teaspoon Turmeric powder (Haldi),1-1/2 tablespoon Sunflower Oil",45,Indian,"tomato,salt,coriander leaves,cauliflower,green peas,red chilli powder,ginger garlic paste,onion,turmeric powder,green chillies,garam masala powder,sunflower oil",12,colflower pea bhurji,[],colflower pea bhurji
Chicken Yakitori Recipe - Japanese Chicken Skewers,"2 teaspoons Corn flour,1/2 inch Ginger - minced,2 tablespoons Brown Sugar (Demerara Sugar),4 cloves Garlic - minced,1 teaspoon Garlic - finely chopped,2 tablespoons Red wine,400 grams Chicken breasts - cut into 2 inch cubes,1/4 cup Water,1 tablespoon Vinegar,1 teaspoon Sunflower Oil,2 tablespoons Soy sauce,1 tablespoon Red Chilli sauce,1 teaspoon Black pepper powder",50,Japanese,"ginger,corn flour,red wine,cloves garlic,soy sauce,water,garlic,vinegar,brown sugar,black pepper powder,red chilli sauce,chicken breasts cubes,sunflower oil",13,chicken yakitori,['japanese chicken skewers'],"chicken yakitori, japanese chicken skewers"
Mixed Sprouts In Chettinad Masala Recipe,"2 Green Chillies - slit,1/4 cup Fresh coconut - grated,1 Onion - thinly sliced,2 Tomatoes - thinly sliced,2 inch Ginger,1 teaspoon Garam masala powder,Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,2 teaspoons Fennel seeds (Saunf),10 cloves Garlic,1 tablespoon Sesame (Gingelly) Oil,2 teaspoons Whole Black Peppercorns,3 Cloves (Laung),1 tablespoon Coriander (Dhania) Seeds,2 sprig Curry leaves,2 teaspoons Sunflower Oil,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),2 cups Mixed Sprouts - boiled,1 Bay leaf (tej patta)",40,Chettinad,"tomato,salt,ginger,bay leaf,cardamom podsseeds,fennel seeds,coconut,sesame oil,black peppercorns,cloves garlic,curry leaves,coriander seeds,mixed sprouts,onion,cinnamon stick,cumin seeds,cloves,green chillies,garam masala powder,sunflower oil",20,mixed sprouts in chettinad masala,[],mixed sprouts in chettinad masala
Focaccia With Cherry Tomatoes & Caramelized Onion Recipe,"1 Onion - sliced,2 tablespoon Extra Virgin Olive Oil,1 cup Lukewarm Water,2 teaspoon Red Chilli flakes,1 tablespoon Rosemary,1 teaspoon Sugar - or honey,1/2 cup Extra Virgin Olive Oil,1/4 cup Parmesan cheese - grated,1 cup Cherry tomatoes - cut in half,2-1/2 cups Vivatta Maida,1 tablespoon Active dry yeast,1 teaspoon Salt",140,Italian Recipes,"salt,rosemary,water,dry yeast,virgin olive oil,vivatta maida,red chilli flakes,onion,parmesan cheese,cherry tomato",10,focaccia with cherry tomatoes & caramelized onion,[],focaccia with cherry tomatoes & caramelized onion
Tamil Nadu Style Coconut Chutney Recipe - For Idli And Dosa,"1 teaspoon White Urad Dal (Split),2 Green Chillies,1/2 teaspoon Mustard seeds,3/4 cup Lukewarm Water,1 teaspoon Sunflower Oil - for seasoning,Salt - to taste,1 inch Ginger,1-1/2 cups Fresh coconut - grated,1 Dry Red Chilli - broken,1 sprig Curry leaves - finely chopped",20,South Indian Recipes,"salt,ginger,coconut,mustard seeds,water,dry red chilli,curry leaves,white urad dal,green chillies,sunflower oil",10,tamil nadu style coconut chutney,['for idli and dosa'],"tamil nadu style coconut chutney, for idli and dosa"
Indian Spicy Masala Cookie Recipe (Khara Biscuit),"2 cups All Purpose Flour (Maida),1/3 cup Butter - softened,2 teaspoons Cumin seeds (Jeera),1/2 teaspoon Baking powder,1 teaspoon Red Chilli powder,3 teaspoons Sugar,2 Green Chillies - finely chopped,1 teaspoon Ginger - grated,1/2 teaspoon Asafoetida (hing),1 sprig Curry leaves - finely chopped,2 tablespoons Curd (Dahi / Yogurt),1 teaspoon Salt",75,Indian,"salt,baking powder,ginger,asafoetida,red chilli powder,curd,sugar,curry leaves,cumin seeds,flour,green chillies,butter",12,indian spicy masala cookie,['khara biscuit'],"indian spicy masala cookie, khara biscuit"
Sweet Corn & Peas Upma Recipe For Babies and Toddlers,"1/4 cup Sooji (Semolina/ Rava) - roasted,1 teaspoon Ghee,Green peas (Matar) - a few,1/4 teaspoon Mustard seeds,1/2 cup Hot water,Salt - as per taste,1/2 Onion - finely chopped,Sweet corn - a few kernels,1/4 teaspoon White Urad Dal (Split)",20,South Indian Recipes,"salt,green peas a,mustard seeds,ghee,sweet corn kernels,water,white urad dal,onion,sooji",9,sweet corn & peas upma for babies and toddlers,[],sweet corn & peas upma for babies and toddlers
Cold Sesame Noodles Recipe,"4 teaspoon Sichuan peppercorns,1 Bay leaves (tej patta),1/2 cup Mooli/ Mullangi (Radish) - cut into strips,1 tablespoon Vinegar,Spring Onion Greens - as required,1 tablespoon Soy sauce,250 grams Veg Hakka Noodles - cooked as per package noodles,1 cup Cucumber - cut into strips,1 Spring Onion Greens - roughly pieces,Raw Peanuts (Moongphali) - roasted,1 tablespoon Garlic - finely minced,1/4 cup Sesame seeds (Til seeds) - roasted and ground to a paste,1 tablespoon Cumin seeds (Jeera) - powdered,2 tablespoons Chilli oil,1 tablespoon Peanut Butter - (optional),1 tablespoon Coriander Powder (Dhania),4 tablespoon Red Chilli flakes,Sesame seeds (Til seeds) - as required,1/2 cup Sesame (Gingelly) Oil,1 Star anise,2 teaspoon Soy sauce",30,Chinese,"spring onion greens,peanut butter,bay leaves,sesame seeds ground paste,veg hakka noodles per package noodles,sesame oil,red chilli flakes,soy sauce,garlic,cumin seeds,vinegar,peanuts,sesame seeds,cucumber,coriander powder,mooli mullangi,chilli oil,star anise,sichuan peppercorns",19,cold sesame noodles,[],cold sesame noodles
Corn cake recipe,"1 Green Chilli - finely chopped,1/2 teaspoon Mustard seeds,1/2 teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves - as required (for garnish),1-1/2 cup Sweet corn - steamed and ground to paste,Salt - to taste,1 teaspoon Lemon juice,1 teaspoon Ghee,1/4 teaspoon Red Chilli powder,1/2 cup Milk,1 teaspoon Ginger - grated,1/4 teaspoon Asafoetida (hing),1/2 teaspoon Sugar,1/2 teaspoon Cumin seeds (Jeera)",25,Rajasthani,"salt,ginger,green chilli,sweet corn ground paste,mustard seeds,ghee,asafoetida,milk,coriander leaves,red chilli powder,sugar,cumin seeds,lemon,turmeric powder",14,corn cake,[],corn cake
Dill Cucumber Raita Recipe,"1 teaspoon Black pepper powder,1/4 cup Mint Leaves (Pudina) - finely chopped,1/2 cup Dill leaves - finely chopped,1 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Chaat Masala Powder,1-1/2 cup Curd (Dahi / Yogurt),1 Cucumber - grated",10,Indian,"salt,cumin powder,dill leaves,chaat masala powder,curd,black pepper powder,cucumber,mint leaves",8,dill cucumber raita,[],dill cucumber raita
Tindora Ka Salan Recipe,"2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 teaspoon Lemon juice,1 teaspoon Red Chilli powder,2 Green Chillies - slit,1 teaspoon Coriander Powder (Dhania),1 tablespoon Sesame seeds (Til seeds),1 tablespoon Ginger Garlic Paste,1 tablespoons Raw Peanuts (Moongphali),1 Onion - thinly sliced,1/2 teaspoon Cumin powder (Jeera),250 grams Tindora (Dondakaya/ Kovakkai) - slitted keeping the base intact,Salt - to taste,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,2 teaspoons Jaggery - powdered,1 tablespoon Sunflower Oil,1/4 teaspoon Methi Seeds (Fenugreek Seeds),2 tablespoon Fresh coconut - grated,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Mint Leaves (Pudina) - finely chopped,2 sprig Curry leaves,2 Dry Red Chillies,1/4 cup Tamarind Water",30,North Indian Recipes,"cumin powder,coriander leaves,jaggery,curry leaves,onion,cumin seeds,turmeric powder,green chillies,sunflower oil,salt,dry red chillies,peanuts,mint leaves,tamarind water,mustard seeds,coconut,red chilli powder,methi seeds,tindora ted keeping the base intact,lemon,sesame seeds,ginger garlic paste,coriander powder",23,tindora ka salan,[],tindora ka salan
Andhra Style Chepa Vepudu Recipe - Andhra Fish Fry Recipe,"1 Onion - sliced,1/2 teaspoon Turmeric powder (Haldi),4 Dry Red Chillies,1 inch Ginger - chopped,1 teaspoon Red Chilli powder,1 teaspoon Mustard seeds,1 tablespoon Cumin seeds (Jeera),2 cloves Garlic - chopped,1 tablespoon Sesame seeds (Til seeds),2 Basa fish - fillet ,1 tablespoon Chana dal (Bengal Gram Dal),Sunflower Oil,1/4 cup Dry coconut (kopra),1 sprig Curry leaves,1 tablespoon White Urad Dal (Split)",40,Andhra,"ginger,chana dal,mustard seeds,red chilli powder,cloves garlic,dry coconut,curry leaves,white urad dal,dry red chillies,onion,cumin seeds,basa fish fillet,turmeric powder,sesame seeds,sunflower oil",15,andhra style chepa vepudu,['andhra fish fry'],"andhra style chepa vepudu, andhra fish fry"
Konkani Style Kalwanche Tonak Recipe - Oyster Curry,"1 Onion - sliced,1/2 cup Fresh coconut - grated (use dry coconut if you don't have access to fresh ),4 Dry Red Chillies,1/2 tablespoon Coriander (Dhania) Seeds,2 cloves Garlic,Salt - to taste,2 tablespoons Extra Virgin Olive Oil,1 teaspoon Fennel seeds (Saunf),30 grams Tamarind,5 Whole Black Peppercorns,1 teaspoon Turmeric powder (Haldi),5 cloves Cloves (Laung),330 grams Oysters - (use small ones but in case you get big ones",35,Konkan,"salt,coconut,cloves cloves,fennel seeds,virgin olive oil,cloves garlic,black peppercorns,oysters seeds,tamarind,turmeric powder",13,konkani style kalwanche tonak,['oyster curry'],"konkani style kalwanche tonak, oyster curry"
Baked Roasted Pumpkin Penne Pasta With Tomato Basil Sauce Recipe,"1 teaspoon Sugar,8 cloves Garlic - smashed,1/4 cup Mozzarella cheese,Salt - to taste,300 grams Kaddu (Parangikai/ Pumpkin) - cut into chunks,1 Onion - chopped,4 cloves Garlic - or parsley,5 Basil leaves,1 teaspoon Extra Virgin Olive Oil - for garnishing (optional),5 Tomatoes,300 grams Penne pasta,1 teaspoon Whole Black Pepper Corns - crushed",70,Italian Recipes,"tomato,salt,parangikai pumpkin,cloves garlic parsley,black pepper corns,penne pasta,mozzarella cheese,cloves garlic,basil leaves,virgin olive oil,sugar,onion",12,baked roasted pumpkin penne pasta with tomato basil sauce,[],baked roasted pumpkin penne pasta with tomato basil sauce
Potato Fenugreek Leaves Stir Fry (Recipe in Hindi)," oil - as per use, 250 gms fenugreek - wash and chop, 2 cloves garlic - grated, 1 teaspoon Garam masala powder, 1 teaspoon cumin seeds, 1 onion - thinly sliced, 1 teaspoon coriander powder, 1 teaspoon turmeric powder, 1 tomato - puree, salt - as per taste, red chili powder - as per taste, 1 inch ginger - grated,3 Potatoes - boiled",50,North Indian Recipes,"tomato,turmeric powder,salt,ginger,red chilli powder,cloves garlic,gms fenugreek,onion,oil,coriander powder,potatoes,cumin seeds,garam masala powder",13,potato fenugreek leaves stir fry,[],potato fenugreek leaves stir fry
Soya Granule Samosa Recipe - Perfect Evening Snack,"1 teaspoon Sugar,1 cup All Purpose Flour (Maida),Water - as required,Sunflower Oil - for deep frying,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,1 teaspoon Ajwain (Carom seeds),1 Onion - finely chopped,2 Green Chillies - finely chopped,1 tablespoon Sunflower Oil,2 tablespoons Ghee,1 cup Whole Wheat Flour,1 tablespoon Ginger Garlic Paste,1/4 cup Green peas (Matar) - steamed,1/2 cup Soy granules,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Salt",90,North Indian Recipes,"salt,wheat flour,soy granules,ghee,ajwain,green peas,water,red chilli powder,ginger garlic paste,sugar,onion,cumin seeds,coriander powder,flour,turmeric powder,green chillies,garam masala powder,sunflower oil",18,soya granule samosa,['perfect evening snack'],"soya granule samosa, perfect evening snack"
Sweet Pumpkin Green Smoothie Recipe,"1 Dates - for sweetness (optional),1 cup Spinach - cleaned,1-1/2 cup Milk - or almond milk,1 tablespoon Pumpkin seeds,1 cup Kaddu (Parangikai/ Pumpkin) - red one- cut into chunks,1/4 teaspoon Cinnamon Powder (Dalchini)",70,Continental,"spinach,dates sweetness,parangikai pumpkin red,milk almond milk,pumpkin seeds,cinnamon powder",6,sweet pumpkin green smoothie,[],sweet pumpkin green smoothie
Vegetable Yakhni Pulao Recipe,"1 Carrot (Gajjar) - thinly sliced,1 tablespoon Cashew nuts,1/2 cup Green beans (French Beans) - thinly sliced,1 teaspoon Ghee,2 Green Chillies - slit,1 teaspoon Ajwain (Carom seeds),1 Onion - finely chopped,2 cups Basmati rice,1 cup Curd (Dahi / Yogurt) - whisked,Salt - to taste,1 inch Ginger - grated,1/2 cup Mint Leaves (Pudina) - finely chopped,4 cloves Garlic - grated,4 tablespoon Ghee,2 cups Vegetable stock - or water,2 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),4 Cardamom (Elaichi) Pods/Seeds,1 cup Cauliflower (gobi) - cut into florets,1 tablespoon Coriander (Dhania) Seeds,Mint Leaves (Pudina) - for garnish,2 to 3 Whole Black Peppercorns,1/4 cup Caramelized onions,1 teaspoon Fennel seeds (Saunf),1 tablespoon Raisins,1 Bay leaf (tej patta),1/2 cup Green peas (Matar)",65,North Indian Recipes,"basmati rice,vegetable stock water,ajwain,black peppercorns,cloves garlic,carrot,coriander seeds,onion,green chillies,salt,cardamom podsseeds,raisins,mint leaves,green beans,cauliflower,curd,cashew nuts,ginger,bay leaf,fennel seeds,ghee,green peas,cinnamon stick,cloves",24,vegetable yakhni pulao,[],vegetable yakhni pulao
French Toast Oatmeal Bake Recipe,"15 Sultanas,2 teaspoons Maple syrup,2 Whole Wheat Brown Bread - multigrain (cubed),1 teaspoon Vanilla Extract,1 teaspoon Coconut Sugar - to sprinkle on top (optional),1 teaspoon Flax seed powder (flax meal),1/2 cup Almond Milk (Badam Milk) - unsweetened,1 teaspoon Cinnamon Powder (Dalchini) - + more to sprinkle on top,1/2 cup Instant Oats (Oatmeal),2 tablespoons Peanut Butter - or any other flavoured cream preferred,1 Ripe Bananas - mashed with a fork,6 Walnuts - chopped",40,Continental,"cinnamon powder on top,sultanas,wheat brown bread multigrain,coconut sugar on top,bananas fork,almond milk,instant oats,walnuts",13,french toast oatmeal bake,[],french toast oatmeal bake
Orange Flavored Barbecue Chicken With Fresh Salad Recipe,"1 Orange - cut into small segments,Salt - to taste,1 cup Spinach Leaves (Palak) - fresh and washed,1 Orange - squeezed into juice,Salt and Pepper - for seasoning,1 cup Baby Potatoes - cut into half,1 teaspoon Dried oregano,1 teaspoon Date syrup,1 tablespoon Butter,3 tablespoons Fresh orange juice,2 tablespoons Barbeque sauce,1 Lemon juice,Salt and Pepper - for taste,1 tablespoon Red Chilli sauce,1 Apple - cut into diagonals,1 teaspoon Black pepper powder,1 Chicken thigh",55,Continental,"salt,date syrup,barbeque sauce,chicken thigh,orange juice,apple,orange squeezed juice,lemon,dried oregano,baby potatoes,black pepper powder,orange segments,red chilli sauce,spinach leaves,butter,pepper",16,orange flavored barbecue chicken with fresh salad,[],orange flavored barbecue chicken with fresh salad
Broccoli Puree With Butter and Garlic Recipe (For Babies/toddlers over 7 months),"2 cloves Garlic,1 teaspoon Butter,1/2 cup Water,Salt - a pinch,1 cup Broccoli - 10 florets approximately,Black pepper powder - a pinch",25,Indian,"salt,broccoli florets approximately,cloves garlic,water,black pepper powder,butter",6,broccoli puree with butter and garlic,['for babies/toddlers over 7 months'],"broccoli puree with butter and garlic, for babies/toddlers over 7 months"
Guar Fali Masala Vegetable Recipe - Gawar Phali Masala Sabzi Recipe," 1 teaspoon red chili powder, 1 teaspoon cumin seeds, 4 cloves garlic - finely chopped, coriander - chopped, 1 tomato - chop, 1/2 Teaspoon turmeric powder, 1 teaspoon mustard, 1/2 teaspoon cumin powder, 1/4 teaspoon asafoetida, 1 sprig curry leaves, 2 tablespoons peanuts - roast , 1 inch ginger - finely chopped, 1 onion - cut, 1 teaspoon oil,300 grams Gwar pods - wash and cut into 1 inch pieces, Salt - as per taste, 1 tablespoon coriander powder",45,North Indian Recipes,"tomato,turmeric powder,peanuts roast,ginger,salt,asafoetida,cumin powder,red chilli powder,cloves garlic,gwar pods,mustard,curry leaves,coriander,onion,oil,coriander powder,cumin seeds",17,guar fali masala vegetable,['gawar phali masala sabzi'],"guar fali masala vegetable, gawar phali masala sabzi"
Saffron Cardamom Creme Brulée Recipe,"Few Saffron strands,4 Egg yolks,3 Cardamom (Elaichi) Pods/Seeds,1/4 cup Sugar,2 cups Double Cream",140,French,"double,eggs,cardamom podsseeds,saffron strands,sugar",5,saffron cardamom creme brulee,[],saffron cardamom creme brulee
Ellu Chutney Recipe - Sesame Seeds Chutney Recipe,"Curry leaves - a few,1/2 teaspoon Mustard seeds,Salt - to taste,20 grams Tamarind - soaked in water,1/4 cup Fresh coconut - grated,1 teaspoon Sunflower Oil,1/4 cup Black sesame seeds,5 Dry Red Chillies,1 tablespoon White Urad Dal (Split)",20,Karnataka,"salt,coconut,black sesame seeds,mustard seeds,curry leaves,white urad dal,dry red chillies,tamarind,sunflower oil",9,ellu chutney,['sesame seeds chutney'],"ellu chutney, sesame seeds chutney"
Light And Creamy Broccoli Soup Recipe,"1 Potato (Aloo) - boiled,500 grams Broccoli - florets,1/2 cup Milk,Salt and Pepper - to taste,1 teaspoon Extra Virgin Olive Oil,1 cup Vegetable stock - or water",40,Continental,"salt,vegetable stock water,potato,milk,virgin olive oil,pepper,broccoli florets",7,light and creamy broccoli soup,[],light and creamy broccoli soup
Spinach And Capsicum Pasta Recipe,"2 teaspoon Lemon juice,Salt - to taste,1/2 teaspoon Dried oregano,2 Green Chillies - slit,1 Onion - chopped,Black pepper powder - to taste,2 cups Spirali pasta,1/2 cup Spinach - chopped,1 Green Bell Pepper (Capsicum) - sliced,1 teaspoon Extra Virgin Olive Oil - + 1 tablespoon",40,Italian Recipes,"salt,spinach,virgin olive oil,onion,lemon,spirali pasta,black pepper powder,green bell pepper,green chillies,dried oregano",10,spinach and capsicum pasta,[],spinach and capsicum pasta
Kuzhal Payasam Recipe- Wheat Noodles Payasam,"1 teaspoon Dry ginger powder,1/3 cup Fresh coconut - grated,6 Raisins,1 cup Jaggery,1 cup Water,1 teaspoon Cardamom Powder (Elaichi),10 Cashew nuts,2 teaspoons Rice flour,1 cup Whole Wheat Flour,2 teaspoon Ghee,1 teaspoon Sunflower Oil,1/2 cup Coconut milk",45,South Indian Recipes,"cashew nuts,wheat flour,coconut,ghee,jaggery,raisins,water,dry ginger powder,cardamom powder,coconut milk,rice flour,sunflower oil",12,kuzhal payasam,['wheat noodles payasam'],"kuzhal payasam, wheat noodles payasam"
Pesto and Tangy Tomato Whirls with Hints of Garlic,"1 cup All Purpose Flour (Maida),1/2 cup Water - slightly warm,1 tablespoon Extra Virgin Olive Oil,Salt - to taste,1/2 cup Britannia Cheese Block - grated,4 cloves Garlic - finely chopped,6 sprig Basil leaves,1/2 teaspoon Black pepper powder,4 Tomatoes - boiled till mushy and pureed,Milk - as required,1 teaspoon Butter - + some for finishing,1/2 teaspoon Active dry yeast,1/2 teaspoon Sugar,1 pinch Baking powder,2 tablespoon Tomato Ketchup,1 tablespoon Parsley leaves - freshly chopped,1 Onion - small,6 cloves Garlic",160,Italian Recipes,"salt,baking powder,milk,basil leaves,water,dry yeast,cloves garlic,virgin olive oil,sugar,tomato ketchup,onion,butter some finishing,tomato till mus,parsley leaves,black pepper powder,britannia cheese block,flour",17,pesto and tangy tomato whirls with hints of garlic,[],pesto and tangy tomato whirls with hints of garlic
"Methi, Mooli Makkai Paratha Recipe","Salt - to taste,4 cups Makki Ka Atta (Yellow Corn Meal Flour),2 Green Chillies - finely chopped,2 cups Methi Leaves (Fenugreek Leaves) - roughy chopped,2 cups Mooli/ Mullangi (Radish) - grated,1/2 teaspoon Red Chilli powder,Water - to knead the dough or buttermilk,Ghee - or oil,2 teaspoons Coriander Powder (Dhania),1-1/2 teaspoon Ajwain (Carom seeds)",40,North Indian Recipes,"salt,makki ka atta,coriander powder,water knead the dough buttermilk,ajwain,red chilli powder,ghee,oil,methi leaves y,mooli mullangi,green chillies",11,"methi, mooli makkai paratha",[],"methi, mooli makkai paratha"
Carrot Methi Pachadi Recipe,"1/4 tablespoon Mustard seeds,1 Carrot (Gajjar) - grated,1 tablespoon Tamarind Paste,Salt - to taste,1/2 tablespoon Jaggery,1 tablespoon Cumin seeds (Jeera),2 tablespoons White Urad Dal (Split),1/4 tablespoon Turmeric powder (Haldi),2 Dry Red Chillies,2 Green Chillies - finely chopped (adjustable),100 grams Methi Leaves (Fenugreek Leaves),1 tablespoon Sunflower Oil",20,South Indian Recipes,"salt,mustard seeds,methi leaves,jaggery,carrot,white urad dal,dry red chillies,cumin seeds,tamarind paste,turmeric powder,green chillies,sunflower oil",12,carrot methi pachadi,[],carrot methi pachadi
